ID;Lat;Lon;Alt;Vel;Ax;Ay;Az;Mx;My;Mz
59;47.4731502166667;19.06334315;110.545;0.013;0.565;0.01;1.935;-11.68;4.16;-28.96
60;47.4731502166667;19.06334315;110.545;0.023;0.565;0.01;1.935;-11.68;4.16;-28.96
61;47.4731501833333;19.0633431;110.555;0.023;0.565;0.01;1.935;-11.68;4.16;-28.96
62;47.4731502;19.0633430666667;110.562;0.023;0.565;0.01;1.935;-11.68;4.16;-28.96
63;47.4731502;19.0633430666667;110.562;0.023;0.565;0.01;1.935;-11.68;4.16;-28.96
64;47.4731502333333;19.0633431833333;110.555;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
65;47.47315025;19.0633432;110.554;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
66;47.47315025;19.0633432;110.556;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
67;47.4731502833333;19.06334325;110.549;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
68;47.4731502666667;19.0633432666667;110.556;0.026;0.565;0.01;1.935;-11.68;4.16;-28.96
69;47.4731502666667;19.0633432166667;110.564;0.026;0.565;0.01;1.935;-11.68;4.16;-28.96
70;47.47315025;19.0633432333333;110.565;0.026;0.565;0.01;1.935;-11.68;4.16;-28.96
71;47.47315025;19.0633431833333;110.56;0.026;0.565;0.01;1.935;-11.68;4.16;-28.96
72;47.4731502833333;19.0633431833333;110.562;0.015;0.565;0.01;1.935;-11.68;4.16;-28.96
73;47.4731503;19.06334325;110.563;0.015;0.565;0.01;1.935;-11.68;4.16;-28.96
74;47.4731503333333;19.0633432333333;110.564;0.015;0.565;0.01;1.935;-11.68;4.16;-28.96
75;47.4731503666667;19.0633433166667;110.562;0.015;0.565;0.01;1.935;-11.68;4.16;-28.96
76;47.4731503166667;19.0633433333333;110.566;0.055;0.565;0.01;1.935;-11.68;4.16;-28.96
77;47.4731502166667;19.0633433166667;110.575;0.055;0.565;0.01;1.935;-11.68;4.16;-28.96
78;47.4731502166667;19.0633433166667;110.575;0.055;0.565;0.01;1.935;-11.68;4.16;-28.96
79;47.4731501666667;19.0633432833333;110.582;0.055;0.565;0.01;1.935;-11.68;4.16;-28.96
80;47.4731502;19.0633433833333;110.577;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
81;47.4731501833333;19.0633434;110.577;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
82;47.4731502166667;19.0633434833333;110.571;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
83;47.4731502166667;19.0633434833333;110.571;0.011;0.565;0.01;1.935;-11.68;4.16;-28.96
84;47.4731502166667;19.0633435;110.57;0.052;0.565;0.01;1.935;-11.68;4.16;-28.96
85;47.4731502666667;19.0633435666667;110.559;0.052;0.565;0.01;1.935;-11.68;4.16;-28.96
86;47.4731502666667;19.0633435666667;110.559;0.052;0.565;0.01;1.935;-11.68;4.16;-28.96
87;47.4731502666667;19.0633436333333;110.555;0.052;0.565;0.01;1.935;-11.68;4.16;-28.96
88;47.4731502833333;19.0633436666667;110.555;0.014;0.565;0.01;1.935;-11.68;4.16;-28.96
89;47.4731502666667;19.0633436166667;110.558;0.014;0.565;0.01;1.935;-11.68;4.16;-28.96
90;47.4731502166667;19.0633437;110.559;0.014;0.565;0.01;1.935;-11.68;4.16;-28.96
91;47.47315025;19.0633437333333;110.548;0.014;0.565;0.01;1.935;-11.68;4.16;-28.96
92;47.47315025;19.0633437333333;110.548;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
93;47.4731502833333;19.0633437333333;110.548;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
94;47.47315025;19.0633437;110.551;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
95;47.4731502;19.0633437166667;110.551;0.024;0.565;0.01;1.935;-11.68;4.16;-28.96
96;47.4731502;19.06334365;110.555;0.047;0.565;0.01;1.935;-11.68;4.16;-28.96
97;47.4731501666667;19.06334375;110.548;0.047;0.565;0.01;1.935;-11.68;4.16;-28.96
98;47.4731501333333;19.06334375;110.546;0.047;0.565;0.01;1.935;-11.68;4.16;-28.96
99;47.4731501333333;19.0633437;110.545;0.047;0.565;0.01;1.935;-11.68;4.16;-28.96
100;47.4731501166667;19.0633436;110.543;0.064;0.565;0.01;1.935;-11.68;4.16;-28.96
101;47.47315015;19.0633436;110.537;0.064;0.565;0.01;1.935;-11.68;4.16;-28.96
